In this analyse, we chose lmbd=0.01, eta=0.01 and 300 epochs...

n_layers: 1, batch_size:10, n_neurons:5 gives score of: [0.6482295989990234, 0.6666666865348816] 
n_layers: 2, batch_size:150, n_neurons:75 gives score of: [0.6865422129631042, 0.8333333134651184] 
n_layers: 2, batch_size:150, n_neurons:80 gives score of: [0.7198199033737183, 0.8500000238418579] 
n_layers: 2, batch_size:160, n_neurons:5 gives score of: [0.7648582458496094, 0.36666667461395264] 
n_layers: 2, batch_size:160, n_neurons:10 gives score of: [0.6366629004478455, 0.8666666746139526] 
n_layers: 2, batch_size:160, n_neurons:15 gives score of: [0.6307708621025085, 0.8666666746139526] 
n_layers: 2, batch_size:160, n_neurons:20 gives score of: [0.5840473175048828, 0.8166666626930237] 
n_layers: 2, batch_size:160, n_neurons:25 gives score of: [0.5696342587471008, 0.800000011920929] 
n_layers: 2, batch_size:160, n_neurons:30 gives score of: [0.5236051678657532, 0.8500000238418579] 
n_layers: 2, batch_size:160, n_neurons:35 gives score of: [0.6055983304977417, 0.800000011920929] 
n_layers: 2, batch_size:160, n_neurons:40 gives score of: [0.6834527254104614, 0.8333333134651184] 
n_layers: 2, batch_size:160, n_neurons:45 gives score of: [0.75557541847229, 0.8166666626930237] 
n_layers: 2, batch_size:160, n_neurons:50 gives score of: [0.6159588098526001, 0.8333333134651184] 
n_layers: 2, batch_size:160, n_neurons:55 gives score of: [0.7945793271064758, 0.8333333134651184] 
n_layers: 2, batch_size:160, n_neurons:60 gives score of: [0.6357709765434265, 0.8166666626930237] 
n_layers: 2, batch_size:160, n_neurons:65 gives score of: [0.6153038740158081, 0.8333333134651184] 
n_layers: 2, batch_size:160, n_neurons:70 gives score of: [0.7193173766136169, 0.8500000238418579] 
n_layers: 2, batch_size:160, n_neurons:75 gives score of: [0.6434559226036072, 0.8500000238418579] 
n_layers: 2, batch_size:160, n_neurons:80 gives score of: [0.6903727650642395, 0.8333333134651184] 
n_layers: 2, batch_size:170, n_neurons:5 gives score of: [0.7277084589004517, 0.550000011920929] 
n_layers: 2, batch_size:170, n_neurons:10 gives score of: [0.7147917151451111, 0.75] 
n_layers: 2, batch_size:170, n_neurons:15 gives score of: [0.6110370755195618, 0.75] 
n_layers: 2, batch_size:170, n_neurons:20 gives score of: [0.5786675810813904, 0.7833333611488342] 
n_layers: 2, batch_size:170, n_neurons:25 gives score of: [0.6317955851554871, 0.800000011920929] 
n_layers: 2, batch_size:170, n_neurons:30 gives score of: [0.5849069356918335, 0.8500000238418579] 
n_layers: 2, batch_size:170, n_neurons:35 gives score of: [0.5022680759429932, 0.8833333253860474] 
n_layers: 2, batch_size:170, n_neurons:40 gives score of: [0.6273897290229797, 0.7833333611488342] 
n_layers: 2, batch_size:170, n_neurons:45 gives score of: [0.9180286526679993, 0.8500000238418579] 
n_layers: 2, batch_size:170, n_neurons:50 gives score of: [0.6507893800735474, 0.8166666626930237] 
n_layers: 2, batch_size:170, n_neurons:55 gives score of: [0.7583862543106079, 0.8333333134651184] 
n_layers: 2, batch_size:170, n_neurons:60 gives score of: [0.7133000493049622, 0.7833333611488342] 
n_layers: 2, batch_size:170, n_neurons:65 gives score of: [0.620212733745575, 0.8500000238418579] 
n_layers: 2, batch_size:170, n_neurons:70 gives score of: [0.6764414310455322, 0.8333333134651184] 
n_layers: 2, batch_size:170, n_neurons:75 gives score of: [0.6249551773071289, 0.8166666626930237] 
n_layers: 2, batch_size:170, n_neurons:80 gives score of: [0.7352690100669861, 0.8500000238418579] 
n_layers: 2, batch_size:180, n_neurons:5 gives score of: [2.7468717098236084, 0.6833333373069763] 
n_layers: 2, batch_size:180, n_neurons:10 gives score of: [0.6584373712539673, 0.7166666388511658] 
n_layers: 2, batch_size:180, n_neurons:15 gives score of: [0.5639933347702026, 0.7666666507720947] 
n_layers: 2, batch_size:180, n_neurons:20 gives score of: [0.4822889268398285, 0.8666666746139526] 
n_layers: 2, batch_size:180, n_neurons:25 gives score of: [0.5933195948600769, 0.8833333253860474] 
n_layers: 2, batch_size:180, n_neurons:30 gives score of: [0.6965040564537048, 0.8333333134651184] 
n_layers: 2, batch_size:180, n_neurons:35 gives score of: [0.6686785221099854, 0.8166666626930237] 
n_layers: 2, batch_size:180, n_neurons:40 gives score of: [0.559466540813446, 0.8666666746139526] 
n_layers: 2, batch_size:180, n_neurons:45 gives score of: [0.6368759274482727, 0.8500000238418579] 
n_layers: 2, batch_size:180, n_neurons:50 gives score of: [0.8693414926528931, 0.6666666865348816] 
n_layers: 2, batch_size:180, n_neurons:55 gives score of: [0.7058377861976624, 0.8333333134651184] 
n_layers: 2, batch_size:180, n_neurons:60 gives score of: [0.6371884942054749, 0.8333333134651184] 
n_layers: 2, batch_size:180, n_neurons:65 gives score of: [0.6203863024711609, 0.8833333253860474] 
n_layers: 2, batch_size:180, n_neurons:70 gives score of: [0.687972903251648, 0.8166666626930237] 
n_layers: 2, batch_size:180, n_neurons:75 gives score of: [0.7539347410202026, 0.8166666626930237] 
n_layers: 2, batch_size:180, n_neurons:80 gives score of: [0.8021513223648071, 0.800000011920929] 
n_layers: 2, batch_size:190, n_neurons:5 gives score of: [0.6688722372055054, 0.6166666746139526] 
n_layers: 2, batch_size:190, n_neurons:10 gives score of: [0.7150255441665649, 0.7166666388511658] 
n_layers: 2, batch_size:190, n_neurons:15 gives score of: [0.8499590754508972, 0.8166666626930237] 
n_layers: 2, batch_size:190, n_neurons:20 gives score of: [0.5725165009498596, 0.8333333134651184] 
n_layers: 2, batch_size:190, n_neurons:25 gives score of: [0.6489917635917664, 0.8500000238418579] 
n_layers: 2, batch_size:190, n_neurons:30 gives score of: [0.5505933165550232, 0.8666666746139526] 
n_layers: 2, batch_size:190, n_neurons:35 gives score of: [0.8187587857246399, 0.7833333611488342] 
n_layers: 2, batch_size:190, n_neurons:40 gives score of: [0.9954698085784912, 0.8166666626930237] 
n_layers: 2, batch_size:190, n_neurons:45 gives score of: [0.609240710735321, 0.8500000238418579] 
n_layers: 2, batch_size:190, n_neurons:50 gives score of: [0.6435653567314148, 0.8333333134651184] 
n_layers: 2, batch_size:190, n_neurons:55 gives score of: [0.7078403234481812, 0.8500000238418579] 
n_layers: 2, batch_size:190, n_neurons:60 gives score of: [0.7182410359382629, 0.7833333611488342] 
n_layers: 2, batch_size:190, n_neurons:65 gives score of: [0.6022846102714539, 0.8500000238418579] 
n_layers: 2, batch_size:190, n_neurons:70 gives score of: [0.7073600888252258, 0.8500000238418579] 
n_layers: 2, batch_size:190, n_neurons:75 gives score of: [0.6657246947288513, 0.800000011920929] 
n_layers: 2, batch_size:190, n_neurons:80 gives score of: [0.7223552465438843, 0.8500000238418579] 
n_layers: 2, batch_size:200, n_neurons:5 gives score of: [0.6937158107757568, 0.6333333253860474] 
n_layers: 2, batch_size:200, n_neurons:10 gives score of: [0.7535716891288757, 0.7166666388511658] 
n_layers: 2, batch_size:200, n_neurons:15 gives score of: [0.7046984434127808, 0.8999999761581421] 
n_layers: 2, batch_size:200, n_neurons:20 gives score of: [0.7321773767471313, 0.800000011920929] 
n_layers: 2, batch_size:200, n_neurons:25 gives score of: [0.6010909676551819, 0.800000011920929] 
n_layers: 2, batch_size:200, n_neurons:30 gives score of: [0.890011727809906, 0.8500000238418579] 
n_layers: 2, batch_size:200, n_neurons:35 gives score of: [0.5668712854385376, 0.8500000238418579] 
n_layers: 2, batch_size:200, n_neurons:40 gives score of: [0.6819882988929749, 0.7833333611488342] 
n_layers: 2, batch_size:200, n_neurons:45 gives score of: [0.7353025078773499, 0.7666666507720947] 
n_layers: 2, batch_size:200, n_neurons:50 gives score of: [0.7675415277481079, 0.7666666507720947] 
n_layers: 2, batch_size:200, n_neurons:55 gives score of: [0.775216817855835, 0.800000011920929] 
n_layers: 2, batch_size:200, n_neurons:60 gives score of: [0.8675521016120911, 0.7666666507720947] 
n_layers: 2, batch_size:200, n_neurons:65 gives score of: [0.8575248718261719, 0.8333333134651184] 
n_layers: 2, batch_size:200, n_neurons:70 gives score of: [0.7266977429389954, 0.8333333134651184] 
n_layers: 2, batch_size:200, n_neurons:75 gives score of: [1.3160916566848755, 0.6499999761581421] 
n_layers: 2, batch_size:200, n_neurons:80 gives score of: [0.7328643798828125, 0.8166666626930237] 
n_layers: 3, batch_size:10, n_neurons:5 gives score of: [0.5102395415306091, 0.8833333253860474] 
n_layers: 3, batch_size:10, n_neurons:10 gives score of: [0.5512325167655945, 0.800000011920929] 
n_layers: 3, batch_size:10, n_neurons:15 gives score of: [0.5746278166770935, 0.7833333611488342] 
n_layers: 3, batch_size:10, n_neurons:20 gives score of: [0.7510648965835571, 0.8166666626930237] 
n_layers: 3, batch_size:10, n_neurons:25 gives score of: [0.6406586170196533, 0.8166666626930237] 
n_layers: 3, batch_size:10, n_neurons:30 gives score of: [0.5335949063301086, 0.8666666746139526] 
n_layers: 3, batch_size:10, n_neurons:35 gives score of: [0.660641074180603, 0.7833333611488342] 
n_layers: 3, batch_size:10, n_neurons:40 gives score of: [0.5232115983963013, 0.8333333134651184] 
n_layers: 3, batch_size:10, n_neurons:45 gives score of: [0.5603739619255066, 0.8333333134651184] 
n_layers: 3, batch_size:10, n_neurons:50 gives score of: [0.5216459035873413, 0.8500000238418579] 
n_layers: 3, batch_size:10, n_neurons:55 gives score of: [0.6713327169418335, 0.7666666507720947] 
n_layers: 3, batch_size:10, n_neurons:60 gives score of: [0.7348050475120544, 0.699999988079071] 
n_layers: 3, batch_size:10, n_neurons:65 gives score of: [0.6131150722503662, 0.800000011920929] 
n_layers: 3, batch_size:10, n_neurons:70 gives score of: [0.5411788821220398, 0.8166666626930237] 
n_layers: 3, batch_size:10, n_neurons:75 gives score of: [0.5180080533027649, 0.8333333134651184] 
n_layers: 3, batch_size:10, n_neurons:80 gives score of: [0.5488815307617188, 0.8166666626930237] 
n_layers: 3, batch_size:20, n_neurons:5 gives score of: [0.4744258224964142, 0.8666666746139526] 
n_layers: 3, batch_size:20, n_neurons:10 gives score of: [0.5549682378768921, 0.8333333134651184] 
n_layers: 3, batch_size:20, n_neurons:15 gives score of: [0.5011041760444641, 0.8666666746139526] 
n_layers: 3, batch_size:20, n_neurons:20 gives score of: [0.5958267450332642, 0.800000011920929] 
n_layers: 3, batch_size:20, n_neurons:25 gives score of: [0.5321428775787354, 0.8333333134651184] 
n_layers: 3, batch_size:20, n_neurons:30 gives score of: [0.6381685733795166, 0.8166666626930237] 
n_layers: 3, batch_size:20, n_neurons:35 gives score of: [0.8310902714729309, 0.7166666388511658] 
n_layers: 3, batch_size:20, n_neurons:40 gives score of: [0.6034296154975891, 0.8333333134651184] 
n_layers: 3, batch_size:20, n_neurons:45 gives score of: [0.789049506187439, 0.800000011920929] 
n_layers: 3, batch_size:20, n_neurons:50 gives score of: [0.5860103368759155, 0.8666666746139526] 
n_layers: 3, batch_size:20, n_neurons:55 gives score of: [0.5970364212989807, 0.8500000238418579] 
n_layers: 3, batch_size:20, n_neurons:60 gives score of: [0.614143431186676, 0.8333333134651184] 
n_layers: 3, batch_size:20, n_neurons:65 gives score of: [0.7673259973526001, 0.7333333492279053] 
n_layers: 3, batch_size:20, n_neurons:70 gives score of: [0.6829261779785156, 0.8333333134651184] 
n_layers: 3, batch_size:20, n_neurons:75 gives score of: [0.6316710114479065, 0.8666666746139526] 
n_layers: 3, batch_size:20, n_neurons:80 gives score of: [0.5894392728805542, 0.8500000238418579] 
n_layers: 3, batch_size:30, n_neurons:5 gives score of: [0.6133823394775391, 0.6833333373069763] 
n_layers: 3, batch_size:30, n_neurons:10 gives score of: [0.6226639151573181, 0.75] 
n_layers: 3, batch_size:30, n_neurons:15 gives score of: [0.6388285160064697, 0.8333333134651184] 
n_layers: 3, batch_size:30, n_neurons:20 gives score of: [0.7839059829711914, 0.7833333611488342] 
n_layers: 3, batch_size:30, n_neurons:25 gives score of: [0.6880855560302734, 0.7833333611488342] 
n_layers: 3, batch_size:30, n_neurons:30 gives score of: [0.580301821231842, 0.8666666746139526] 
n_layers: 3, batch_size:30, n_neurons:35 gives score of: [0.678249180316925, 0.8333333134651184] 
n_layers: 3, batch_size:30, n_neurons:40 gives score of: [0.6734769344329834, 0.8500000238418579] 
n_layers: 3, batch_size:30, n_neurons:45 gives score of: [0.706381618976593, 0.8833333253860474] 
n_layers: 3, batch_size:30, n_neurons:50 gives score of: [0.7136200070381165, 0.8166666626930237] 
n_layers: 3, batch_size:30, n_neurons:55 gives score of: [0.6620289087295532, 0.8166666626930237] 
n_layers: 3, batch_size:30, n_neurons:60 gives score of: [0.7321537137031555, 0.8333333134651184] 
n_layers: 3, batch_size:30, n_neurons:65 gives score of: [1.2149442434310913, 0.6000000238418579] 
n_layers: 3, batch_size:30, n_neurons:70 gives score of: [0.7295278906822205, 0.8166666626930237] 
n_layers: 3, batch_size:30, n_neurons:75 gives score of: [0.7708207368850708, 0.8333333134651184] 
n_layers: 3, batch_size:30, n_neurons:80 gives score of: [0.7354781627655029, 0.8166666626930237] 
n_layers: 3, batch_size:40, n_neurons:5 gives score of: [0.5402687191963196, 0.8500000238418579] 
n_layers: 3, batch_size:40, n_neurons:10 gives score of: [0.4807693660259247, 0.8666666746139526] 
n_layers: 3, batch_size:40, n_neurons:15 gives score of: [0.5154790282249451, 0.8666666746139526] 
n_layers: 3, batch_size:40, n_neurons:20 gives score of: [0.6927730441093445, 0.8166666626930237] 
n_layers: 3, batch_size:40, n_neurons:25 gives score of: [0.585480272769928, 0.8333333134651184] 
n_layers: 3, batch_size:40, n_neurons:30 gives score of: [0.6977171301841736, 0.800000011920929] 
n_layers: 3, batch_size:40, n_neurons:35 gives score of: [0.840387761592865, 0.7666666507720947] 
n_layers: 3, batch_size:40, n_neurons:40 gives score of: [0.6297524571418762, 0.8166666626930237] 
n_layers: 3, batch_size:40, n_neurons:45 gives score of: [0.6792373657226562, 0.8333333134651184] 
n_layers: 3, batch_size:40, n_neurons:50 gives score of: [0.7019739747047424, 0.8500000238418579] 
n_layers: 3, batch_size:40, n_neurons:55 gives score of: [0.6557202935218811, 0.8166666626930237] 
n_layers: 3, batch_size:40, n_neurons:60 gives score of: [0.6833166480064392, 0.8500000238418579] 
n_layers: 3, batch_size:40, n_neurons:65 gives score of: [0.6978352069854736, 0.8500000238418579] 
n_layers: 3, batch_size:40, n_neurons:70 gives score of: [0.7708854675292969, 0.8333333134651184] 
n_layers: 3, batch_size:40, n_neurons:75 gives score of: [0.9391620755195618, 0.75] 
n_layers: 3, batch_size:40, n_neurons:80 gives score of: [0.8130353689193726, 0.8333333134651184] 
n_layers: 3, batch_size:50, n_neurons:5 gives score of: [0.6485846042633057, 0.6666666865348816] 
n_layers: 3, batch_size:50, n_neurons:10 gives score of: [0.6642141342163086, 0.7333333492279053] 
n_layers: 3, batch_size:50, n_neurons:15 gives score of: [0.6397664546966553, 0.8166666626930237] 
n_layers: 3, batch_size:50, n_neurons:20 gives score of: [0.5659382939338684, 0.8333333134651184] 
n_layers: 3, batch_size:50, n_neurons:25 gives score of: [0.6822491884231567, 0.7833333611488342] 
n_layers: 3, batch_size:50, n_neurons:30 gives score of: [0.6627295613288879, 0.75] 
n_layers: 3, batch_size:50, n_neurons:35 gives score of: [0.739948034286499, 0.8166666626930237] 
n_layers: 3, batch_size:50, n_neurons:40 gives score of: [0.7843732833862305, 0.800000011920929] 
n_layers: 3, batch_size:50, n_neurons:45 gives score of: [0.8261252045631409, 0.7666666507720947] 
n_layers: 3, batch_size:50, n_neurons:50 gives score of: [0.899877667427063, 0.7166666388511658] 
n_layers: 3, batch_size:50, n_neurons:55 gives score of: [0.8736489415168762, 0.7333333492279053] 
n_layers: 3, batch_size:50, n_neurons:60 gives score of: [0.839480996131897, 0.7666666507720947] 
n_layers: 3, batch_size:50, n_neurons:65 gives score of: [0.8328729271888733, 0.8666666746139526] 
n_layers: 3, batch_size:50, n_neurons:70 gives score of: [0.7471904754638672, 0.8166666626930237] 
n_layers: 3, batch_size:50, n_neurons:75 gives score of: [0.9920681715011597, 0.7166666388511658] 
n_layers: 3, batch_size:50, n_neurons:80 gives score of: [0.8063392639160156, 0.8333333134651184] 
n_layers: 3, batch_size:60, n_neurons:5 gives score of: [0.6130878329277039, 0.6833333373069763] 
n_layers: 3, batch_size:60, n_neurons:10 gives score of: [0.46785786747932434, 0.8999999761581421] 
n_layers: 3, batch_size:60, n_neurons:15 gives score of: [0.5214138627052307, 0.8666666746139526] 
n_layers: 3, batch_size:60, n_neurons:20 gives score of: [0.730083167552948, 0.8166666626930237] 
n_layers: 3, batch_size:60, n_neurons:25 gives score of: [0.6822180151939392, 0.8166666626930237] 
n_layers: 3, batch_size:60, n_neurons:30 gives score of: [0.7041207551956177, 0.7666666507720947] 
n_layers: 3, batch_size:60, n_neurons:35 gives score of: [0.5743639469146729, 0.8999999761581421] 
n_layers: 3, batch_size:60, n_neurons:40 gives score of: [0.7311059236526489, 0.8166666626930237] 
n_layers: 3, batch_size:60, n_neurons:45 gives score of: [0.7768820524215698, 0.8333333134651184] 
n_layers: 3, batch_size:60, n_neurons:50 gives score of: [0.8073927760124207, 0.7833333611488342] 
n_layers: 3, batch_size:60, n_neurons:55 gives score of: [1.0626983642578125, 0.6833333373069763] 
n_layers: 3, batch_size:60, n_neurons:60 gives score of: [0.7806422114372253, 0.7833333611488342] 
n_layers: 3, batch_size:60, n_neurons:65 gives score of: [0.7595915198326111, 0.8500000238418579] 
n_layers: 3, batch_size:60, n_neurons:70 gives score of: [0.8880537748336792, 0.8333333134651184] 
n_layers: 3, batch_size:60, n_neurons:75 gives score of: [0.7318320870399475, 0.800000011920929] 
n_layers: 3, batch_size:60, n_neurons:80 gives score of: [0.834997296333313, 0.8166666626930237] 
n_layers: 3, batch_size:70, n_neurons:5 gives score of: [0.7389436960220337, 0.6333333253860474] 
n_layers: 3, batch_size:70, n_neurons:10 gives score of: [0.7346999049186707, 0.6166666746139526] 
n_layers: 3, batch_size:70, n_neurons:15 gives score of: [0.6252825260162354, 0.7333333492279053] 
n_layers: 3, batch_size:70, n_neurons:20 gives score of: [0.55990070104599, 0.8500000238418579] 
n_layers: 3, batch_size:70, n_neurons:25 gives score of: [0.6452130675315857, 0.800000011920929] 
n_layers: 3, batch_size:70, n_neurons:30 gives score of: [0.5888355374336243, 0.8500000238418579] 
n_layers: 3, batch_size:70, n_neurons:35 gives score of: [0.6703628897666931, 0.8166666626930237] 
n_layers: 3, batch_size:70, n_neurons:40 gives score of: [0.7301743030548096, 0.800000011920929] 
n_layers: 3, batch_size:70, n_neurons:45 gives score of: [0.8430650234222412, 0.7666666507720947] 
n_layers: 3, batch_size:70, n_neurons:50 gives score of: [0.6590625643730164, 0.8333333134651184] 
n_layers: 3, batch_size:70, n_neurons:55 gives score of: [0.7839615941047668, 0.8333333134651184] 
n_layers: 3, batch_size:70, n_neurons:60 gives score of: [0.9748953580856323, 0.7666666507720947] 
n_layers: 3, batch_size:70, n_neurons:65 gives score of: [0.7573747038841248, 0.7833333611488342] 
n_layers: 3, batch_size:70, n_neurons:70 gives score of: [1.016383409500122, 0.7833333611488342] 
n_layers: 3, batch_size:70, n_neurons:75 gives score of: [0.8612272143363953, 0.8333333134651184] 
n_layers: 3, batch_size:70, n_neurons:80 gives score of: [0.8093002438545227, 0.8333333134651184] 
n_layers: 3, batch_size:80, n_neurons:5 gives score of: [0.6925675868988037, 0.6499999761581421] 
n_layers: 3, batch_size:80, n_neurons:10 gives score of: [0.7829751372337341, 0.7333333492279053] 
n_layers: 3, batch_size:80, n_neurons:15 gives score of: [0.6290329098701477, 0.8166666626930237] 
n_layers: 3, batch_size:80, n_neurons:20 gives score of: [0.5412882566452026, 0.8500000238418579] 
n_layers: 3, batch_size:80, n_neurons:25 gives score of: [0.8081544637680054, 0.75] 
n_layers: 3, batch_size:80, n_neurons:30 gives score of: [0.8436939120292664, 0.8166666626930237] 
n_layers: 3, batch_size:80, n_neurons:35 gives score of: [0.6011312007904053, 0.8333333134651184] 
n_layers: 3, batch_size:80, n_neurons:40 gives score of: [0.8145858645439148, 0.7666666507720947] 
n_layers: 3, batch_size:80, n_neurons:45 gives score of: [0.6658804416656494, 0.8166666626930237] 
n_layers: 3, batch_size:80, n_neurons:50 gives score of: [0.9166380167007446, 0.8500000238418579] 
n_layers: 3, batch_size:80, n_neurons:55 gives score of: [0.7886033654212952, 0.8333333134651184] 
n_layers: 3, batch_size:80, n_neurons:60 gives score of: [0.721364438533783, 0.8333333134651184] 
n_layers: 3, batch_size:80, n_neurons:65 gives score of: [0.736920952796936, 0.8500000238418579] 
n_layers: 3, batch_size:80, n_neurons:70 gives score of: [0.8638705015182495, 0.800000011920929] 
n_layers: 3, batch_size:80, n_neurons:75 gives score of: [0.758079469203949, 0.8666666746139526] 
n_layers: 3, batch_size:80, n_neurons:80 gives score of: [0.9202557802200317, 0.8166666626930237] 
n_layers: 3, batch_size:90, n_neurons:5 gives score of: [0.6310098171234131, 0.6833333373069763] 
n_layers: 3, batch_size:90, n_neurons:10 gives score of: [0.5704548954963684, 0.8166666626930237] 
n_layers: 3, batch_size:90, n_neurons:15 gives score of: [0.7165178060531616, 0.8166666626930237] 
n_layers: 3, batch_size:90, n_neurons:20 gives score of: [0.6108925342559814, 0.8333333134651184] 
n_layers: 3, batch_size:90, n_neurons:25 gives score of: [0.6279584169387817, 0.7666666507720947] 
n_layers: 3, batch_size:90, n_neurons:30 gives score of: [0.6615021228790283, 0.8500000238418579] 
n_layers: 3, batch_size:90, n_neurons:35 gives score of: [0.7881501317024231, 0.8333333134651184] 
n_layers: 3, batch_size:90, n_neurons:40 gives score of: [0.6894264221191406, 0.8166666626930237] 
n_layers: 3, batch_size:90, n_neurons:45 gives score of: [0.8969541192054749, 0.8166666626930237] 
n_layers: 3, batch_size:90, n_neurons:50 gives score of: [0.7649603486061096, 0.7833333611488342] 
n_layers: 3, batch_size:90, n_neurons:55 gives score of: [0.7128629088401794, 0.8333333134651184] 
n_layers: 3, batch_size:90, n_neurons:60 gives score of: [0.7828636169433594, 0.8666666746139526] 
n_layers: 3, batch_size:90, n_neurons:65 gives score of: [0.8100401759147644, 0.8500000238418579] 
n_layers: 3, batch_size:90, n_neurons:70 gives score of: [0.9288383722305298, 0.8166666626930237] 
n_layers: 3, batch_size:90, n_neurons:75 gives score of: [0.7913755178451538, 0.8500000238418579] 
n_layers: 3, batch_size:90, n_neurons:80 gives score of: [0.9831597805023193, 0.7333333492279053] 
n_layers: 3, batch_size:100, n_neurons:5 gives score of: [0.6554872989654541, 0.699999988079071] 
n_layers: 3, batch_size:100, n_neurons:10 gives score of: [0.6980137228965759, 0.6666666865348816] 
n_layers: 3, batch_size:100, n_neurons:15 gives score of: [0.655389130115509, 0.7666666507720947] 
n_layers: 3, batch_size:100, n_neurons:20 gives score of: [0.610115110874176, 0.7833333611488342] 
n_layers: 3, batch_size:100, n_neurons:25 gives score of: [0.6793060302734375, 0.8500000238418579] 
n_layers: 3, batch_size:100, n_neurons:30 gives score of: [0.6458666920661926, 0.8333333134651184] 
n_layers: 3, batch_size:100, n_neurons:35 gives score of: [0.6190502047538757, 0.8833333253860474] 
n_layers: 3, batch_size:100, n_neurons:40 gives score of: [0.6330001950263977, 0.8333333134651184] 
n_layers: 3, batch_size:100, n_neurons:45 gives score of: [0.9602239727973938, 0.8666666746139526] 
n_layers: 3, batch_size:100, n_neurons:50 gives score of: [0.9858617186546326, 0.7666666507720947] 
n_layers: 3, batch_size:100, n_neurons:55 gives score of: [0.739043653011322, 0.8500000238418579] 
n_layers: 3, batch_size:100, n_neurons:60 gives score of: [0.8250486850738525, 0.8500000238418579] 
n_layers: 3, batch_size:100, n_neurons:65 gives score of: [1.0131608247756958, 0.800000011920929] 
n_layers: 3, batch_size:100, n_neurons:70 gives score of: [0.7956199049949646, 0.8500000238418579] 
n_layers: 3, batch_size:100, n_neurons:75 gives score of: [0.8295053243637085, 0.8333333134651184] 
n_layers: 3, batch_size:100, n_neurons:80 gives score of: [0.9615668058395386, 0.8166666626930237] 
n_layers: 3, batch_size:110, n_neurons:5 gives score of: [0.6708894968032837, 0.6333333253860474] 
n_layers: 3, batch_size:110, n_neurons:10 gives score of: [0.6822150349617004, 0.699999988079071] 
n_layers: 3, batch_size:110, n_neurons:15 gives score of: [0.6136986017227173, 0.7666666507720947] 
n_layers: 3, batch_size:110, n_neurons:20 gives score of: [0.5798205137252808, 0.7666666507720947] 
n_layers: 3, batch_size:110, n_neurons:25 gives score of: [0.6633301973342896, 0.8166666626930237] 
n_layers: 3, batch_size:110, n_neurons:30 gives score of: [0.745529055595398, 0.8166666626930237] 
n_layers: 3, batch_size:110, n_neurons:35 gives score of: [0.7040421366691589, 0.8666666746139526] 
n_layers: 3, batch_size:110, n_neurons:40 gives score of: [0.873647928237915, 0.8333333134651184] 
n_layers: 3, batch_size:110, n_neurons:45 gives score of: [0.850341260433197, 0.800000011920929] 
n_layers: 3, batch_size:110, n_neurons:50 gives score of: [0.7081353664398193, 0.8166666626930237] 
n_layers: 3, batch_size:110, n_neurons:55 gives score of: [1.146294355392456, 0.6666666865348816] 
n_layers: 3, batch_size:110, n_neurons:60 gives score of: [0.9306164979934692, 0.8500000238418579] 
n_layers: 3, batch_size:110, n_neurons:65 gives score of: [0.7995542883872986, 0.8500000238418579] 
n_layers: 3, batch_size:110, n_neurons:70 gives score of: [0.7339658141136169, 0.8500000238418579] 
n_layers: 3, batch_size:110, n_neurons:75 gives score of: [0.7259927988052368, 0.8666666746139526] 
n_layers: 3, batch_size:110, n_neurons:80 gives score of: [1.0428242683410645, 0.7333333492279053] 
n_layers: 3, batch_size:120, n_neurons:5 gives score of: [0.46114903688430786, 0.8666666746139526] 
n_layers: 3, batch_size:120, n_neurons:10 gives score of: [0.6389352679252625, 0.7833333611488342] 
n_layers: 3, batch_size:120, n_neurons:15 gives score of: [0.8489851355552673, 0.75] 
n_layers: 3, batch_size:120, n_neurons:20 gives score of: [0.692687451839447, 0.75] 
n_layers: 3, batch_size:120, n_neurons:25 gives score of: [0.548608660697937, 0.8833333253860474] 
n_layers: 3, batch_size:120, n_neurons:30 gives score of: [0.588012158870697, 0.8666666746139526] 
n_layers: 3, batch_size:120, n_neurons:35 gives score of: [0.686711311340332, 0.7833333611488342] 
n_layers: 3, batch_size:120, n_neurons:40 gives score of: [0.7312762141227722, 0.8333333134651184] 
n_layers: 3, batch_size:120, n_neurons:45 gives score of: [0.7513388991355896, 0.8166666626930237] 
n_layers: 3, batch_size:120, n_neurons:50 gives score of: [0.7419453263282776, 0.8500000238418579] 
n_layers: 3, batch_size:120, n_neurons:55 gives score of: [0.8462645411491394, 0.8166666626930237] 
n_layers: 3, batch_size:120, n_neurons:60 gives score of: [0.7701063752174377, 0.8166666626930237] 
n_layers: 3, batch_size:120, n_neurons:65 gives score of: [0.7933559417724609, 0.8166666626930237] 
n_layers: 3, batch_size:120, n_neurons:70 gives score of: [0.8354805111885071, 0.7833333611488342] 
n_layers: 3, batch_size:120, n_neurons:75 gives score of: [0.8609502911567688, 0.8666666746139526] 
n_layers: 3, batch_size:120, n_neurons:80 gives score of: [0.8421657681465149, 0.800000011920929] 
n_layers: 3, batch_size:130, n_neurons:5 gives score of: [0.5734007358551025, 0.7666666507720947] 
n_layers: 3, batch_size:130, n_neurons:10 gives score of: [0.8712565302848816, 0.6499999761581421] 
n_layers: 3, batch_size:130, n_neurons:15 gives score of: [0.6515894532203674, 0.800000011920929] 
n_layers: 3, batch_size:130, n_neurons:20 gives score of: [0.736453652381897, 0.800000011920929] 
n_layers: 3, batch_size:130, n_neurons:25 gives score of: [0.7102115750312805, 0.8166666626930237] 
n_layers: 3, batch_size:130, n_neurons:30 gives score of: [0.6051852703094482, 0.8500000238418579] 
